term_type,term_type_name,term_data_type,term_code,term_name
bo_type,商机类型,dict,分包,分包
win_bid,是否中标,dict,0,未中标
win_bid,是否中标,dict,1,中标
early_diliver,是否提前,dict,1,提前
early_diliver,是否提前,dict,0,未提前
is_ali_integrated,是否集成阿里产品,dict,1,是
is_ali_integrated,是否集成阿里产品,dict,0,否
opportunity_nature,商机性质,dict,新增,新增
opportunity_nature,商机性质,dict,存量,存量
opportunity_stage,商机阶段,dict,投标竞争,投标竞争
opportunity_stage,商机阶段,dict,投标竞争，购买和实施,投标竞争，购买和实施
opportunity_stage,商机阶段,dict,方案设计,方案设计
opportunity_stage,商机阶段,dict,方案设计，评估与比较,方案设计，评估与比较
opportunity_stage,商机阶段,dict,立项评估中,立项评估中
opportunity_stage,商机阶段,dict,产生采购需求，内部准备,产生采购需求，内部准备
performance_type,业绩类型,dict,科技,科技
performance_type,业绩类型,dict,智能,智能
belong_industry,所属行业,dict,高校,高校
belong_industry,所属行业,dict,政府,政府
belong_industry,所属行业,dict,其他,其他
belong_industry,所属行业,dict,企业,企业
customer_type,客户类型,dict,新增,新增
customer_type,客户类型,dict,存量,存量
report_status,日报状态,dict,0,未反馈
report_status,日报状态,dict,1,已反馈
attendance_status,考勤状态,dict,早退,早退
attendance_status,考勤状态,dict,正常,正常
attendance_status,考勤状态,dict,缺卡,缺卡
expense_status,费用状态,dict,PENDING,待审核
expense_status,费用状态,dict,APPROVED,审核通过
expense_status,费用状态,dict,REJECTED,已驳回,
todo_priority,优先级,dict,Low,低
todo_priority,优先级,dict,Medium,中
todo_priority,优先级,dict,High,高
todo_priority,优先级,dict,Critical,紧急
urgency_level,紧急程度,dict,Low,低
urgency_level,紧急程度,dict,Medium,中
urgency_level,紧急程度,dict,High,高
urgency_level,紧急程度,dict,Critical,紧急
todo_status,待办状态,dict,PendingReceive,待接收
todo_status,待办状态,dict,Returned,退回
todo_status,待办状态,dict,Received,已接收
todo_status,待办状态,dict,PendingReview,待审核
todo_status,待办状态,dict,NotPassed,不通过
todo_status,待办状态,dict,Closed,关闭
boName,商机名称,list,51,南京大数据集团AI中台咨询服务
boName,商机名称,list,52,中科大知识中台二期
boName,商机名称,list,53,正大天晴云迁移
boName,商机名称,list,54,新工数科生物医药科研设备共享服务平台项目
boName,商机名称,list,55,长沙百旺数据中台
boName,商机名称,list,56,国防科大MAAS及智能体平台
boName,商机名称,list,57,徐州政务云管理
boName,商机名称,list,58,盖亚云迁移
boName,商机名称,list,59,博西电子BI报表实施
boName,商机名称,list,60,扬州市人工智能产业园展厅项目
boName,商机名称,list,61,随州水务数据中台
boName,商机名称,list,62,中核汇能知识库项目
boName,商机名称,list,63,江苏卫生健康学校智能体项目
boName,商机名称,list,64,南通大数据局智能体项目
boName,商机名称,list,66,阿里满帮云迁移
boName,商机名称,list,67,江苏交控大模型项目
boName,商机名称,list,68,中铁信息智能体项目
boName,商机名称,list,75,省审计厅大模型需求
boName,商机名称,list,77,安徽三只松鼠人力项目-结算2
boName,商机名称,list,78,"ATEC项目-PO5,6增补"
boName,商机名称,list,79,常州排水集团运维项目
boName,商机名称,list,80,国防科大算力平台
boName,商机名称,list,82,苏州纪检监察云大数据平台运维项目
boName,商机名称,list,86,国防科大算力平台
boName,商机名称,list,87,省审计厅大模型需求
boName,商机名称,list,88,苏州纪检监察云大数据平台运维项目
boName,商机名称,list,89,安徽三只松鼠人力项目-结算2
boName,商机名称,list,90,"ATEC项目-PO5,6增补"
boName,商机名称,list,91,常州排水集团运维项目
boName,商机名称,list,95,王小明-A省政企云一期商机
boName,商机名称,list,96,广陵新城管委会智慧园区数据中台商机
boName,商机名称,list,97,智能体-广陵新城管委会
boName,商机名称,list,98,定制开发-长沙百旺
boName,商机名称,list,99,智慧园区-湖南生物机电职业技术学院
boName,商机名称,list,100,江苏省审计厅智能体项目
boName,商机名称,list,101,数据中台-江苏满运软件
boName,商机名称,list,102,河南教育厅BI大屏项目
boName,商机名称,list,103,BI大屏-江苏银行
boName,商机名称,list,104,数字江西科技有限公司数据中台项目
boName,商机名称,list,105,定制开发-江苏开放大学
boName,商机名称,list,106,智能体-湖南强智科技发展有限公司
boName,商机名称,list,107,人力外包-江苏卫生健康学校
boName,商机名称,list,108,南京公共交通集团有限公司智能体项目
boName,商机名称,list,109,中核汇能定制开发项目
boName,商机名称,list,110,人力外包-蚂蚁集团
boName,商机名称,list,111,智能体-泰州大数据局
boName,商机名称,list,112,知识库-阿里
boName,商机名称,list,113,定制开发-苏州纪委
boName,商机名称,list,114,河南教育厅定制开发项目
boName,商机名称,list,115,云迁移-常州大数据局
boName,商机名称,list,116,知识库-数字江西科技有限公司
boName,商机名称,list,117,人力外包-常州大数据局
boName,商机名称,list,118,智能体-常州排水集团
boName,商机名称,list,119,江苏卫生健康学校人力外包项目
boName,商机名称,list,120,知识库-江苏苏豪集团
boName,商机名称,list,121,南京医药集团人力外包项目
boName,商机名称,list,122,云迁移-南京钢铁股份有限公司
boName,商机名称,list,123,南京医科大学附属口腔医院数据中台项目
boName,商机名称,list,124,天合光能数据治理项目
boName,商机名称,list,125,中信泰富特钢集团有限公司运维服务项目
boName,商机名称,list,126,江苏银行运维服务项目
boName,商机名称,list,127,南京新工投资集团BI大屏项目
boName,商机名称,list,128,南京公共交通集团有限公司知识库项目
boName,商机名称,list,129,人力外包-苏州纪委
boName,商机名称,list,130,BI大屏-国防科大电子对抗学院
boName,商机名称,list,131,云迁移-南京钢铁股份有限公司
boName,商机名称,list,132,人力外包-南京钢铁集团
boName,商机名称,list,133,河南教育厅运维服务项目
boName,商机名称,list,134,合肥工业大学BI大屏项目
boName,商机名称,list,135,定制开发-阿里
boName,商机名称,list,136,长沙百旺人力外包项目
boName,商机名称,list,137,数据治理-扬州工业职业技术学院
boName,商机名称,list,138,河南教育厅智慧园区项目
boName,商机名称,list,139,运维服务-国防科大
boName,商机名称,list,140,人力外包-南京大数据集团
boName,商机名称,list,141,数据治理-扬州工业职业技术学院
boName,商机名称,list,142,江苏金恒信息科技股份有限公司运维服务项目
boName,商机名称,list,143,江苏满运软件运维服务项目
boName,商机名称,list,144,南京钢铁股份有限公司BI大屏项目
boName,商机名称,list,145,定制开发-常州排水集团
boName,商机名称,list,146,南通大数据局BI大屏项目
boName,商机名称,list,147,南京大数据集团运维服务项目
boName,商机名称,list,148,数据治理-扬州市大数据集团
boName,商机名称,list,149,天合光能运维服务项目
boName,商机名称,list,150,云迁移-江苏银行
boName,商机名称,list,151,安徽交控集团数据中台项目
boName,商机名称,list,152,正大天晴药业集团股份有限公司BI大屏项目
boName,商机名称,list,153,BI大屏-南京中铁信息工程公司
boName,商机名称,list,154,智慧园区-常州大数据局
boName,商机名称,list,155,南京市江宁区城市数字治理中心智慧园区项目
boName,商机名称,list,156,知识库-浙江大数据局
boName,商机名称,list,157,数字江西科技有限公司数据治理项目
boName,商机名称,list,158,南京莱斯信息智慧园区项目
boName,商机名称,list,159,扬州工业职业技术学院BI大屏项目
boName,商机名称,list,160,数据中台-扬州工业职业技术学院
boName,商机名称,list,161,智能体-南京医药集团
boName,商机名称,list,162,数据治理-盐城城运中心
boName,商机名称,list,163,知识库-扬州市大数据集团
boName,商机名称,list,164,定制开发-南通大数据局
boName,商机名称,list,165,智慧园区-苏州纪委
boName,商机名称,list,166,知识库-南京大数据集团
boName,商机名称,list,167,南京公共交通集团有限公司数据治理项目
boName,商机名称,list,168,dataCloud数智化建设
boName,商机名称,list,169,滞留-某省政务云数据中台
boName,商机名称,list,170,滞留-某市智慧城市大脑
boName,商机名称,list,171,滞留-某集团BI平台
boName,商机名称,list,172,中国移动浙江数智化项目
boName,商机名称,list,173,华南某省政务云扩容
boName,商机名称,list,174,华南某运营商大数据平台
boName,商机名称,list,92,马栏山多云融合管理平台
boName,商机名称,list,93,保利天创物业大模型智能招采项目
boName,商机名称,list,94,三大平台加两台超融合服务器
customerName,客户名称,list,46,江苏交通控股有限公司
customerName,客户名称,list,47,正大天晴药业集团股份有限公司
customerName,客户名称,list,48,江苏金恒信息科技股份有限公司
customerName,客户名称,list,49,江苏省数据集团人工智能项目
customerName,客户名称,list,50,江苏省数据集团联合征信公司
customerName,客户名称,list,51,湖南强智科技发展有限公司
customerName,客户名称,list,52,南京新工数字科技有限责任公司
customerName,客户名称,list,53,中信泰富特钢集团有限公司
customerName,客户名称,list,54,广陵新城管委会
customerName,客户名称,list,55,北京药帮忙科技有限公司
customerName,客户名称,list,56,江苏红网技术股份有限公司
customerName,客户名称,list,57,北京华晟经世信息技术股份有限公司
customerName,客户名称,list,58,无锡职业技术大学
customerName,客户名称,list,59,扬州市大数据集团
customerName,客户名称,list,60,钉钉
customerName,客户名称,list,61,扬州工业职业技术学院
customerName,客户名称,list,62,南京市城市照明建设运营集团
customerName,客户名称,list,63,江苏省数据集团
customerName,客户名称,list,64,南京市江宁区城市数字治理中心
customerName,客户名称,list,65,中通服咨询设计研究院有限公司
customerName,客户名称,list,66,南京医科大学附属口腔医院
customerName,客户名称,list,67,江苏苏豪集团
customerName,客户名称,list,68,南京新工投资集团
customerName,客户名称,list,69,江苏省审计厅
customerName,客户名称,list,70,南京医药集团
customerName,客户名称,list,71,南京公共自行车有限公司
customerName,客户名称,list,72,南京钢铁股份有限公司
customerName,客户名称,list,73,南京公共交通集团有限公司
customerName,客户名称,list,74,南京金斯瑞生物
customerName,客户名称,list,75,合肥工业大学
customerName,客户名称,list,76,南京中铁信息工程公司
customerName,客户名称,list,77,国防科技大学
customerName,客户名称,list,78,中国科学技术大学
customerName,客户名称,list,79,三只松鼠
customerName,客户名称,list,80,常州大数据局
customerName,客户名称,list,81,阿里资产
customerName,客户名称,list,82,安庆职业技术学院
customerName,客户名称,list,83,江苏开放大学
customerName,客户名称,list,84,台积电（南京）半导体
customerName,客户名称,list,85,南京医药集团
customerName,客户名称,list,86,南京钢铁集团
customerName,客户名称,list,87,湖北武汉中商
customerName,客户名称,list,88,天合光能
customerName,客户名称,list,89,数字江西科技有限公司
customerName,客户名称,list,90,湖南生物机电职业技术学院二期
customerName,客户名称,list,91,湖南生物机电职业技术学院
customerName,客户名称,list,92,中国移动通信集团广东有限公司
customerName,客户名称,list,93,中国移动通信集团浙江有限公司
customerName,客户名称,list,94,华南某省政务云运营公司
customerName,客户名称,list,95,华南某市移动分公司
